Day,Susceptible,Exposed,Infected,Recovered,Died
0,24,0,0,0,0
1,24,0,0,0,0
2,32,0,0,0,0
3,33,0,0,0,0
4,34,0,0,0,0
5,56,0,0,0,0
6,66,0,0,0,0
7,71,0,0,0,0
8,111,0,0,0,0
9,113,1,0,0,0
10,128,1,0,0,0
11,132,1,0,0,0
12,135,1,0,0,0
13,146,1,0,0,0
14,152,2,0,0,0
15,163,2,0,0,0
16,173,3,0,0,0
17,177,3,0,0,0
18,178,3,0,0,0
19,202,4,0,0,0
20,210,4,0,0,0
21,214,4,0,0,0
22,261,4,0,0,0
23,263,5,0,0,0
24,300,4,1,0,0
25,343,4,0,1,0
26,343,3,0,1,0
27,362,3,0,1,0
28,361,6,0,1,0
29,353,5,0,1,0
30,351,6,0,0,0
31,339,4,2,0,0
32,360,5,1,1,0
33,364,3,2,2,0
34,382,3,1,2,0
35,405,3,0,3,0
36,413,3,1,3,0
37,428,2,1,3,0
38,445,7,1,3,0
39,436,7,0,4,0
40,481,9,0,4,0
41,496,10,1,3,0
42,498,9,1,3,0
43,486,9,1,3,0
44,464,9,1,1,0
45,464,9,1,1,0
46,437,7,0,2,0
47,425,8,0,2,0
48,401,7,1,2,0
49,386,7,0,3,0
50,489,7,0,3,0
51,482,7,0,3,0
52,487,6,0,3,0
53,484,6,0,2,0
54,468,5,0,2,0
55,492,4,0,2,0
56,475,4,0,2,0
57,510,3,0,2,0
58,507,4,0,1,0
59,487,2,2,1,0
60,505,2,2,1,0
