Day,Susceptible,Exposed,Infected,Recovered,Died
0,24,0,0,0,0
1,24,0,0,0,0
2,25,0,0,0,0
3,58,0,1,0,0
4,59,0,1,0,0
5,76,0,0,1,0
6,94,0,0,1,0
7,127,0,0,1,0
8,141,0,0,1,0
9,157,0,0,1,0
10,171,0,0,1,0
11,173,0,0,1,0
12,186,0,0,1,0
13,195,0,0,1,0
14,198,0,0,1,0
15,247,0,0,1,0
16,250,0,0,1,0
17,275,0,0,1,0
18,281,0,0,1,0
19,318,1,0,1,0
20,347,1,0,1,0
21,345,2,0,1,0
22,364,1,1,1,0
23,383,1,0,2,0
24,389,1,0,1,0
25,382,1,0,1,0
26,371,0,1,1,0
27,360,0,1,1,0
28,346,0,1,0,0
29,336,0,1,0,0
30,328,0,1,0,0
31,351,0,1,0,0
32,382,0,0,1,0
33,382,0,0,1,0
34,414,0,0,1,0
35,463,0,0,1,0
36,457,2,0,1,0
37,442,2,0,1,0
38,434,3,0,1,0
39,447,3,0,0,0
40,472,2,1,0,0
41,461,3,1,0,0
42,457,3,1,0,0
43,448,2,2,0,0
44,453,1,1,1,0
45,500,2,1,1,0
46,586,1,1,2,0
47,600,1,1,2,0
48,601,0,1,2,0
49,604,2,1,2,0
50,597,2,2,2,0
51,576,3,0,4,0
52,571,4,0,4,0
53,551,3,0,4,0
54,530,3,0,4,0
55,510,3,0,3,0
56,498,3,1,2,0
57,480,3,1,1,0
58,461,2,1,2,0
59,448,3,1,2,0
60,478,3,1,2,0
