day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456842	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	44	0	0	0	0	[]	0	0
1	123456842	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	44	0	0	0	0	[]	0	0
2	123456842	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	44	0	0	0	0	[]	0	0
3	123456842	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	86	44	0	0	0	0	[]	0	0
4	123456842	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	86	44	0	0	0	0	[]	0	0
5	123456842	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	86	44	0	0	0	0	[]	0	0
6	123456842	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	86	44	0	0	0	0	[]	0	0
7	123456842	245	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	1	0	86	44	0	0	0	1	[]	0	1
8	123456842	245	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	20	0	0	1	0	86	44	0	0	0	1	[]	0	1
9	123456842	244	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	1	0	86	44	0	0	0	2	[]	0	1
10	123456842	243	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	0	0	1	0	86	44	0	0	0	3	[]	0	1
11	123456842	243	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	27	0	0	1	0	86	44	0	0	0	3	[]	0	2
12	123456842	238	5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	34	0	0	1	0	86	44	0	0	0	3	[]	0	2
13	123456842	238	3	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	37	0	0	1	0	86	44	0	0	0	3	[]	0	2
14	123456842	238	1	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	38	0	0	1	0	86	44	0	0	0	3	[]	0	2
15	123456842	230	8	5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	40	0	0	1	0	86	44	0	0	0	3	[]	0	2
16	123456842	224	12	5	4	0	0	0	0	0	0	0	1	0	0	0	0	0	41	0	0	1	0	86	44	0	0	0	3	[]	0	2
17	123456842	213	18	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	1	0	86	44	0	0	0	3	[]	0	3
18	123456842	202	25	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	1	0	86	44	0	0	0	3	[]	0	2
19	123456842	195	23	14	13	0	0	0	0	0	0	0	0	0	0	1	0	0	44	1	0	1	1	86	44	0	0	0	3	[]	0	5
20	123456842	194	20	17	14	0	0	0	0	0	0	0	0	0	0	1	0	0	49	1	0	1	1	86	44	0	0	0	4	[]	0	5
21	123456842	194	17	19	14	0	0	0	0	0	0	0	0	0	0	2	0	0	52	2	0	1	2	86	44	0	0	0	4	[]	0	5
22	123456842	183	19	24	17	0	0	0	0	0	0	0	0	0	0	3	0	0	53	3	0	1	3	86	44	0	0	0	4	[]	0	7
23	123456842	166	31	23	20	0	0	0	0	0	0	2	0	0	0	4	0	0	56	4	0	3	4	86	44	0	0	0	4	[]	0	8
24	123456842	143	43	31	23	0	0	0	0	0	0	2	0	0	0	4	0	0	59	4	0	3	4	86	44	0	0	0	4	[]	0	8
25	123456842	125	46	41	27	0	0	0	0	0	0	2	0	0	0	4	1	0	59	5	0	3	5	86	44	0	0	0	4	[]	0	10
26	123456842	103	50	54	31	0	0	0	0	0	0	2	0	0	0	5	1	0	62	6	0	3	6	86	44	0	0	0	4	[]	0	10
27	123456842	103	37	57	40	0	0	0	0	0	0	2	0	0	0	5	2	0	63	7	0	3	7	86	44	0	0	0	4	[]	0	10
28	123456842	103	26	65	41	0	0	0	0	0	0	1	1	0	0	7	2	0	65	9	0	3	9	86	44	0	0	0	4	[]	0	10
29	123456842	54	59	69	53	0	0	0	0	0	0	1	1	0	0	7	2	0	66	10	0	3	10	86	44	0	0	0	4	[]	0	11
30	123456842	41	41	84	64	0	0	0	0	0	0	3	1	0	0	10	2	0	70	13	0	5	13	86	44	0	0	0	4	[]	0	12
31	123456842	20	44	87	79	0	0	0	0	0	0	2	3	0	0	10	1	0	73	13	0	6	13	86	44	0	0	0	4	[]	0	12
32	123456842	13	43	84	88	0	0	0	0	0	0	1	4	0	0	10	3	0	74	16	0	6	16	86	44	0	0	0	4	[]	0	12
33	123456842	10	30	84	104	0	0	0	0	0	0	1	2	0	0	10	5	0	75	19	0	6	19	86	44	0	0	0	4	[]	0	12
34	123456842	10	21	77	117	0	0	0	0	0	0	2	2	0	0	10	7	0	80	21	0	7	21	86	44	0	0	0	4	[]	0	12
35	123456842	10	16	66	129	0	0	0	0	0	0	2	2	0	0	13	8	0	80	26	0	7	26	86	44	0	0	0	4	[]	0	12
36	123456842	5	15	64	134	0	0	0	0	0	0	2	2	0	0	16	8	0	80	30	0	7	30	86	44	0	0	0	4	[]	0	12
37	123456842	4	11	52	149	0	0	0	0	0	0	2	2	0	0	17	9	0	85	33	0	7	33	86	44	0	0	0	4	[]	0	12
38	123456842	3	8	47	159	0	0	0	0	0	0	2	3	0	0	12	12	0	87	33	0	8	33	86	44	0	0	0	4	[]	0	12
39	123456842	3	7	40	167	0	0	0	0	0	0	1	4	0	0	11	13	0	90	34	0	8	34	86	44	0	0	0	4	[]	0	12
40	123456842	3	6	33	178	0	0	0	0	0	0	1	2	0	0	10	13	0	91	36	0	8	36	86	44	0	0	0	4	[]	0	12
41	123456842	3	4	26	188	0	0	0	0	0	0	1	1	0	0	7	16	0	93	36	0	8	36	86	44	0	0	0	4	[]	0	10
42	123456842	3	4	22	194	0	0	0	0	0	0	2	1	0	0	7	13	0	97	36	0	9	36	86	44	0	0	0	4	[]	0	9
43	123456842	3	3	18	201	0	0	0	0	0	0	2	1	0	0	4	14	0	98	37	0	9	37	86	44	0	0	0	4	[]	0	9
44	123456842	3	3	14	207	0	0	0	0	0	0	2	1	0	0	4	12	0	100	37	0	10	37	86	44	0	0	0	4	[]	0	9
45	123456842	3	1	16	212	0	0	0	0	0	0	1	2	0	0	2	9	0	101	37	0	10	37	86	44	0	0	0	4	[]	0	9
