day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456949	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	44	0	0	0	0	[]	0	0
1	123456949	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	86	44	0	0	0	0	[]	0	0
2	123456949	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	86	44	0	0	0	0	[]	0	0
3	123456949	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	86	44	0	0	0	0	[]	0	0
4	123456949	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	86	44	0	0	0	0	[]	0	0
5	123456949	244	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	86	44	0	0	0	2	[]	0	0
6	123456949	244	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	86	44	0	0	0	2	[]	0	2
7	123456949	244	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	86	44	0	0	0	2	[]	0	2
8	123456949	234	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	86	44	0	0	0	3	[]	0	2
9	123456949	221	16	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	86	44	0	0	0	3	[]	0	2
10	123456949	217	14	10	3	0	0	0	0	0	0	0	0	0	0	2	0	0	20	2	0	0	2	86	44	0	0	0	3	[]	0	2
11	123456949	211	14	13	5	0	0	0	0	0	0	0	0	0	0	3	0	0	20	3	0	0	3	86	44	0	0	0	3	[]	0	3
