day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	48	0	0	0	0	[]	0	0
1	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	48	0	0	0	0	[]	0	0
2	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	86	48	0	0	0	0	[]	0	0
3	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	86	48	0	0	0	0	[]	0	0
4	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	86	48	0	0	0	0	[]	0	0
5	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	86	48	0	0	0	0	[]	0	0
6	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	86	48	0	0	0	0	[]	0	0
7	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	86	48	0	0	0	0	[]	0	0
8	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	86	48	0	0	0	0	[]	0	0
9	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	86	48	0	0	0	0	[]	0	0
10	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	86	48	0	0	0	0	[]	0	0
11	123456809	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	86	48	0	0	0	0	[]	0	0
12	123456809	241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	86	48	0	0	0	1	[]	0	0
13	123456809	241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	86	48	0	0	0	1	[]	0	0
14	123456809	241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	86	48	0	0	0	1	[]	0	0
15	123456809	241	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	86	48	0	0	0	1	[]	0	0
16	123456809	237	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	86	48	0	0	0	3	[]	0	0
17	123456809	236	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	86	48	0	0	0	4	[]	0	1
18	123456809	229	10	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	37	0	0	1	0	86	48	0	0	0	5	[]	0	2
19	123456809	221	16	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	41	0	0	1	0	86	48	0	0	0	5	[]	0	2
20	123456809	221	13	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	43	0	0	1	0	86	48	0	0	0	5	[]	0	2
21	123456809	220	8	11	2	0	0	0	0	0	0	1	0	0	0	0	0	0	46	0	0	1	0	86	48	0	0	0	6	[]	0	3
22	123456809	209	12	15	5	0	0	0	0	0	0	1	0	0	0	0	0	0	47	0	0	1	0	86	48	0	0	0	6	[]	0	3
23	123456809	185	28	20	6	0	0	0	0	0	0	2	0	0	0	1	0	0	49	1	0	2	1	86	48	0	0	0	6	[]	0	4
24	123456809	176	29	25	9	0	0	0	0	0	0	2	0	0	0	1	0	0	50	1	0	2	1	86	48	0	0	0	8	[]	0	5
25	123456809	160	38	25	15	0	0	0	0	0	0	2	1	0	0	0	1	0	53	1	0	3	1	86	48	0	0	0	8	[]	0	5
26	123456809	143	45	29	19	0	0	0	0	0	0	3	1	0	0	1	1	0	57	2	0	4	2	86	48	0	0	0	9	[]	0	7
27	123456809	143	33	32	26	0	0	0	0	0	0	2	3	0	0	2	1	0	59	3	0	5	3	86	48	0	0	0	9	[]	0	7
28	123456809	143	26	37	29	0	0	0	0	0	0	1	3	0	0	2	1	0	61	3	0	5	3	86	48	0	0	0	9	[]	0	9
29	123456809	103	54	40	37	0	0	0	0	0	0	1	3	0	0	3	1	0	65	4	0	5	4	86	48	0	0	0	9	[]	0	9
30	123456809	81	62	44	45	0	0	0	0	0	0	1	3	0	0	4	2	0	66	6	0	5	6	86	48	0	0	0	9	[]	0	9
31	123456809	69	53	56	50	0	0	0	0	0	0	3	3	0	0	6	2	0	68	8	0	7	8	86	48	0	0	0	9	[]	0	9
32	123456809	58	50	60	57	0	0	0	0	0	0	3	3	0	0	9	2	0	71	11	0	7	11	86	48	0	0	0	9	[]	0	10
33	123456809	51	47	65	63	0	0	0	0	0	0	3	2	0	0	10	1	0	74	12	0	7	12	86	48	0	0	0	10	[]	0	10
34	123456809	51	32	68	74	0	0	0	0	0	0	3	2	0	0	8	4	0	75	13	0	7	13	86	48	0	0	0	10	[]	0	10
35	123456809	51	25	61	85	0	0	0	0	0	0	4	1	0	0	10	5	0	77	16	0	8	16	86	48	0	0	0	10	[]	0	11
36	123456809	40	27	57	99	0	0	0	0	0	0	1	3	0	0	8	7	0	78	17	0	8	17	86	48	0	0	0	10	[]	0	11
37	123456809	28	29	54	113	0	0	0	0	0	0	1	2	0	0	8	7	0	78	18	0	8	18	86	48	0	0	0	10	[]	0	12
38	123456809	19	24	59	119	0	0	0	0	0	0	1	2	0	0	9	9	0	79	21	0	8	21	86	48	0	0	0	10	[]	0	12
39	123456809	13	21	62	125	0	0	0	0	0	0	1	2	0	0	9	9	0	82	22	0	8	22	86	48	0	0	0	10	[]	0	12
40	123456809	6	22	60	133	0	0	0	0	0	0	1	2	0	0	10	8	0	84	24	0	8	24	86	48	0	0	0	10	[]	0	12
41	123456809	6	18	56	145	0	0	0	0	0	0	0	1	0	0	5	11	0	86	24	0	8	24	86	48	0	0	0	10	[]	0	12
42	123456809	6	16	50	154	0	0	0	0	0	0	1	1	0	0	4	10	0	87	25	0	9	25	86	48	0	0	0	10	[]	0	12
43	123456809	5	14	48	159	0	0	0	0	0	0	1	1	0	0	4	10	0	90	26	0	9	26	86	48	0	0	0	10	[]	0	11
44	123456809	5	10	42	169	0	0	0	0	0	0	2	1	0	0	4	9	0	94	26	0	10	26	86	48	0	0	0	10	[]	0	11
45	123456809	3	10	34	182	0	0	0	0	0	0	2	0	0	0	3	8	0	94	27	0	10	27	86	48	0	0	0	10	[]	0	11
46	123456809	3	6	34	187	0	0	0	0	0	0	1	1	0	0	3	7	0	94	27	0	10	27	86	48	0	0	0	10	[]	0	11
47	123456809	3	4	30	191	0	0	0	0	0	0	0	2	0	0	5	7	0	96	30	0	10	30	86	48	0	0	0	10	[]	0	10
48	123456809	3	3	28	197	0	0	0	0	0	0	0	2	0	0	3	6	0	100	30	0	10	30	86	48	0	0	0	10	[]	0	8
49	123456809	3	3	25	200	0	0	0	0	0	0	0	2	0	0	4	5	0	103	31	0	10	31	86	48	0	0	0	10	[]	0	8
50	123456809	2	2	22	207	0	0	0	0	0	0	0	2	0	0	4	3	0	103	31	0	10	31	86	48	0	0	0	10	[]	0	8
51	123456809	2	1	19	210	0	0	0	0	0	0	0	2	0	0	4	4	0	107	32	0	10	32	86	48	0	0	0	10	[]	0	8
52	123456809	2	1	18	213	0	0	0	0	0	0	0	1	0	0	3	4	0	108	32	0	10	32	86	48	0	0	0	10	[]	0	8
53	123456809	2	0	15	216	0	0	0	0	0	0	0	1	0	0	5	3	0	112	34	0	10	34	86	48	0	0	0	10	[]	0	8
54	123456809	2	0	14	218	0	0	0	0	0	0	0	0	0	0	5	3	0	112	34	0	10	34	86	48	0	0	0	10	[]	0	8
55	123456809	2	0	12	220	0	0	0	0	0	0	0	0	0	0	6	2	0	115	35	0	10	35	86	48	0	0	0	10	[]	0	8
56	123456809	2	0	9	223	0	0	0	0	0	0	0	0	0	0	6	2	0	116	35	0	10	35	86	48	0	0	0	10	[]	0	6
57	123456809	2	0	10	225	0	0	0	0	0	0	0	0	0	0	3	2	0	117	35	0	10	35	86	48	0	0	0	10	[]	0	6
58	123456809	2	0	6	229	0	0	0	0	0	0	0	0	0	0	3	2	0	119	35	0	10	35	86	48	0	0	0	10	[]	0	4
59	123456809	2	0	5	230	0	0	0	0	0	0	0	0	0	0	3	2	0	121	36	0	10	36	86	48	0	0	0	10	[]	0	4
