Day,Susceptible,Exposed,Infected,Recovered,Died
0,24,0,0,0,0
1,24,0,0,0,0
2,34,0,0,0,0
3,35,0,0,0,0
4,59,0,0,0,0
5,68,0,0,0,0
6,120,0,0,0,0
7,207,0,0,0,0
8,216,2,0,0,0
9,232,3,0,0,0
10,253,3,0,0,0
11,285,2,1,0,0
12,289,2,1,0,0
13,356,3,1,0,0
14,358,5,1,0,0
15,365,5,2,0,0
16,366,3,3,1,0
17,374,4,3,1,0
18,373,7,1,3,0
19,377,10,1,3,0
20,386,11,0,4,0
21,401,9,2,4,0
22,415,9,1,5,0
23,481,8,1,6,0
24,470,9,0,6,0
25,459,8,0,6,0
26,435,6,0,6,0
27,416,4,2,6,0
28,402,5,1,7,0
29,381,5,1,8,0
30,353,5,0,8,0
31,335,4,0,8,0
32,321,4,0,8,0
33,312,3,1,7,0
34,305,3,0,5,0
35,295,4,0,4,0
36,291,5,0,4,0
37,299,5,1,4,0
38,389,6,1,4,0
39,395,6,0,5,0
40,408,7,0,4,0
41,392,5,0,5,0
42,412,5,0,5,0
43,395,5,0,5,0
44,412,4,1,5,0
45,465,4,0,6,0
46,447,4,0,6,0
47,471,4,0,6,0
48,503,4,1,6,0
49,491,4,0,7,0
50,490,3,0,7,0
51,495,4,0,7,0
52,510,4,1,7,0
53,543,4,1,7,0
54,560,3,1,7,0
55,565,3,1,6,0
56,568,3,1,6,0
57,553,2,0,7,0
58,543,4,0,7,0
59,514,2,1,8,0
60,528,2,1,8,0
